Unnamed: 0.1,Unnamed: 0,French,English
0,0,partie,part
1,1,chercher,search
3,3,pensais,thought
4,4,aide,help
5,5,demande,request
6,6,genre,kind
7,7,mois,month
8,8,frère,brother
9,9,car,because
11,11,laisse,leash
12,12,eux,them
13,13,parlé,speak
14,14,arrivé,come
15,15,devrait,should
16,16,bébé,baby
17,17,longtemps,long time
18,18,heures,hours
19,19,vont,will
21,21,revoir,meet again
22,22,aucune,any
23,23,place,square
24,24,parle,speak
25,25,compris,understood
26,26,savais,knew
27,29,voici,here is
28,30,pourrais,could
29,31,affaire,case
31,33,leurs,their
32,34,donné,given
33,35,train,train
35,37,yeux,eyes
36,38,façon,way
37,39,écoute,listen
38,40,dont,whose
39,41,trouve,find
40,42,premier,first
41,43,perdu,lost
42,44,main,hand
43,45,première,first
44,46,côté,side
45,47,pouvoir,power
46,48,vieux,old
47,49,tiens,here
49,53,venu,came
50,54,pardon,sorry
51,55,devant,in front of
52,56,vers,towards
53,57,minutes,minutes
54,58,demandé,request
55,59,mis,placed
56,60,belle,beautiful
57,61,aimerais,would like to
58,62,aujourd'hui,today
59,63,cause,cause
61,65,eau,water
62,66,attendez,Wait
63,67,parti,left
64,69,boulot,job
65,70,arrêter,Stop
66,71,dirait,would say
67,72,terre,Earth
68,73,compte,account
69,74,donne,given
70,75,loin,far
71,76,fin,end
72,77,croire,believe
73,79,gros,large
74,81,aura,will have
75,82,filles,girls
76,83,jouer,to play
77,84,bureau,office
